attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
56,88,66066,10907,14808,9309,4056,9461,4200,1244,B
54,75,23587,87125,34531,14494,20465,7357,2468,1166,B
57,66,22083,14642,19590,14798,7064,4458,1740,1131,B
61,74,15047,12853,9253,6758,6896,3209,1673,946,B
53,77,31390,9647,12922,24953,11622,5864,3921,1520,B
54,84,29337,33228,13144,23029,6818,4247,6136,721,B
60,80,37333,33019,5152,35352,4507,10502,1581,895,B
57,70,4739,28642,8303,3675,2558,3753,4574,1216,B
56,63,18664,12076,2177,8660,1995,2468,1266,1661,B
56,74,21404,12453,31824,32259,9669,4557,1775,1726,B
56,87,41916,15349,3313,21794,2226,3100,2111,1306,B
51,84,31053,47654,15370,15357,9103,4738,1221,863,B
57,77,34744,10284,5724,11818,4291,3551,2126,830,B
44,75,6455,27419,1766,24436,2936,2400,1921,1629,B
51,67,20733,14479,5381,10454,9487,4606,5652,805,B
57,80,13409,5123,33761,6068,9432,5679,3107,782,B
54,77,61773,14258,3952,10726,4745,2785,5132,1692,B
78,74,25295,18110,7398,20430,8188,11564,2970,789,B
78,66,49553,12345,10780,7946,2640,4424,2112,3728,B
78,64,5689,25364,26862,9388,22788,5856,3481,1385,B
77,67,14704,22972,13943,13868,3440,11594,6254,879,B
63,54,38617,60442,2824,11051,13540,5379,2630,1496,B
27,80,22086,11588,38007,11937,6914,6871,3855,2405,F
35,87,42145,25964,15000,11179,18658,5245,2077,1321,F
41,91,10724,4672,49801,16583,5397,7147,1499,1732,F
27,93,13978,72900,19952,15224,13273,4334,2951,3564,F
11,96,35445,29053,23140,88025,4510,3413,1412,879,F
17,97,6975,30295,13440,15087,4174,10399,2101,1227,F
14,84,47169,26885,5520,25107,11688,4541,2922,3020,F
29,83,115751,20833,5489,6363,11478,4949,3376,1670,F
40,64,172668,54107,11246,13132,12221,4173,3235,7261,F
38,64,60223,48315,18874,18147,7247,6518,1830,1192,F
26,81,15753,20180,15940,70968,16300,5632,4697,1045,F
37,87,7810,18352,8899,13261,6891,4752,3335,1987,F
48,77,24002,21610,2292,5714,3499,14301,5459,1259,F
53,80,8437,12446,4559,11536,3381,3511,1952,1946,F
64,77,20170,11498,13096,14563,4526,5576,3436,1250,F
67,67,19217,35462,4751,11239,10629,8257,2828,2852,F
64,78,22991,13193,4909,10591,3668,9589,2827,1971,F
54,70,31953,87476,24746,10788,4228,7478,4660,2315,F
38,74,82089,15653,8223,39654,9912,2044,1444,1867,F
43,77,111511,24899,9178,10447,10340,10419,4905,1653,F
38,77,158345,22418,18582,13333,10586,12313,3249,848,F
53,81,23291,19356,7804,12122,3020,8117,6408,1383,F
63,83,21781,20639,23250,47278,8941,6263,2078,1039,F
53,97,9045,15942,45189,71166,8176,15658,3709,4735,F
40,100,89213,13048,52129,52378,10034,7896,1372,684,F
29,100,31619,44304,24802,21425,25838,7699,3305,1536,F
38,100,3908,29444,5379,30648,5044,8795,7424,1968,F
40,91,35536,18587,15205,9180,5396,6278,3651,492,F
57,78,42976,12819,4334,13149,6197,10135,1968,1799,F
54,87,10124,14789,11100,30956,9430,3693,1666,2044,F
54,87,31131,31039,26335,14866,10120,9877,4251,1248,F
48,81,107619,41443,10233,15408,8142,5174,3120,3755,F
35,84,60295,19495,4560,20393,4509,4530,3020,1095,F
47,77,11691,13560,9151,2100,5016,4893,3096,2014,F
50,78,5838,8067,15189,6676,5061,5709,3850,1031,F
57,81,20879,26130,19730,10746,9164,7902,2647,2146,F
56,74,63992,30358,6237,8201,10390,3907,1789,742,F
56,70,47875,25044,10012,4871,5664,7455,4271,3003,F
44,77,16766,5337,10174,53720,14484,4755,2089,2579,F
47,83,9869,8910,18393,25394,8946,8896,2695,865,F
47,97,8615,5951,14997,31888,7307,4868,1725,2168,F
35,100,7760,22339,33520,8712,21477,4276,4123,4158,F
40,97,12484,15947,934,37659,12575,5275,2776,1584,F
30,96,60570,13869,7370,37355,17023,5858,8634,4562,F
40,84,74353,25306,6380,16286,4148,8140,5814,1091,F
53,78,89402,29992,4608,14800,4411,10780,2801,1522,F
60,75,8509,25093,20117,5073,7169,8502,3806,1590,F
69,64,3485,28228,8755,5752,5829,7431,2211,1891,F
74,67,19366,11089,8120,13917,3748,8098,2813,981,F
83,74,21174,6372,5794,10114,9285,8766,3372,1494,F
80,83,2589,7053,8328,25311,3609,4249,2945,2306,F
69,84,78327,39090,1877,20099,3798,5062,4400,2825,F
69,84,73404,6940,11989,5660,3358,6531,1649,1835,F
56,87,13410,27301,10179,38418,4190,11971,2985,2877,F
51,75,32857,35848,12663,12292,12103,4518,1827,1154,F
56,74,59349,20723,8256,9538,18944,5084,2260,1819,F
43,70,84302,41404,19959,21312,1726,6708,1107,1449,F
41,63,47941,32545,9572,8065,11566,6713,2568,1064,F
27,69,119243,79358,17170,18842,13787,2998,2350,2190,F
34,80,20608,8891,54112,24593,9907,9761,2070,698,F
41,80,21509,19691,8066,5378,14279,9624,1646,788,F
60,90,43229,30557,24936,17143,6368,4317,1726,1965,F
61,69,6959,59252,8375,16745,6113,12108,1730,1117,F
44,75,18997,31045,12751,19233,18373,4977,1766,1083,F
37,64,124795,34423,12290,10530,4212,5654,3208,2538,F
40,66,123204,21127,20576,22018,5007,5570,2587,2043,F
27,84,7513,14609,4090,54059,3641,3740,9212,1284,F
48,91,4588,6596,29174,6038,6858,15102,2964,2063,F
37,93,48814,28979,22972,19297,3653,3789,3508,1505,F
40,88,50005,16291,7006,36857,8690,3858,2901,1073,F
30,84,43435,33880,21277,20174,5508,13655,2592,1737,F
44,77,30591,35241,2655,16952,19862,11946,4152,1797,F
44,83,48787,7097,20212,65965,23658,4699,1941,831,F
54,83,11073,11304,12228,27767,9219,6938,1124,501,F
56,90,6926,3963,9794,8043,1301,4281,3485,2777,F
41,93,99504,48478,17498,4630,2626,5068,4815,1394,F
41,88,30791,18113,20389,24295,10051,3360,4576,1439,F
43,78,12312,24425,3122,17431,14982,6651,5065,4099,F
43,61,6907,18580,5341,6881,7764,6900,4254,1835,F
53,64,17782,24329,23364,1081,10844,6960,2076,1559,F
60,56,44521,32543,6936,18544,11780,5630,3984,2310,F
53,66,126826,15392,9844,34079,7605,5712,1827,1471,F
47,80,93794,14676,14303,32122,11001,7364,1862,2098,F
30,84,90860,26404,26037,11176,4239,3043,2296,1368,F
26,94,27859,21994,7326,51442,11618,4265,2836,2600,F
35,90,57232,17480,12955,12378,8411,7427,3299,2028,F
35,88,24425,14634,29996,3758,11616,5935,2818,1131,F
